run_id,site,model,mode,rep,finding_index,citation_index,chunk_id,url,quote,chunk_exists,target_site_scope,url_matches,quote_matches,mechanically_valid
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,0,0,doc-anvil-jobs:c61,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 | #!/bin/sh -l # FILENAME:  myjobsubmissionfile #SBATCH -A myallocation #SBATCH -p queue-name # the default queue is ""shared"" queue #SBATCH --nodes=2 #SBATCH --ntasks=1 #SBATCH --time=1:30:00 #SBATCH --job-name myjobname module purge # Unload all loaded modules and reset everything to original state. module load ... ... module list # List currently loaded modules. # Print the hostname of the compute node on which this job is running. hostname",True,True,True,True,True
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,0,1,doc-anvil-jobs:c3,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,Users will typically SSH to Anvil ( <username>@anvil.rcac.purdue.edu ) but note this lands you on a login node .,True,True,True,True,True
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1,0,doc-anvil-jobs:c124,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,The charge unit for Anvil is the Service Unit (SU) .,True,True,True,True,True
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,1,1,doc-anvil-jobs:c124,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,This corresponds to the equivalent use of one compute core utilizing less than approximately 2G of data in memory for one hour.,True,True,True,True,True
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,2,0,doc-anvil-jobs:c17,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,"You can choose which queues you want access to by exchanging your Service Units (credits) for the corresponding queue (CPU, GPU, AI).",True,True,True,True,True
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,2,1,doc-anvil-jobs:c24,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,Queue Name | Node Type | Max Nodes per Job | Max Cores per Job | Max Duration | Max Running Jobs per User | Max Running + Submitted Jobs | Charging Factor,True,True,True,True,True
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,2,2,doc-anvil-jobs:c129,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,Jobs submitted to the large memory nodes ( highmem partition) will be charged 4 SU per compute core (4x wholenode node charge).,True,True,True,True,True
3fb1bb16-0484-40a7-bee0-1eecb2cbe43d,anvil,gpt-5-mini,bm25,1,3,0,doc-anvil-jobs:c132,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,Filesystem storage is not charged.,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,0,0,doc-anvil-jobs:c42,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,You must at a minimum specify:,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,0,1,doc-anvil-jobs:c43,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,Account (-A or --account): this is your allocation account.,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,1,0,doc-anvil-jobs:c42,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,You must at a minimum specify:,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,1,1,doc-anvil-jobs:c43,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,Account (-A or --account): this is your allocation account.,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,1,2,doc-anvil-jobs:c40,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 | #!/bin/sh -l #SBATCH -A <account> #SBATCH -p <partition> #SBATCH --nodes=1 #SBATCH --ntasks=1 #SBATCH --cpus-per-task=2 #SBATCH --mem=1G #SBATCH --job-name example-job #SBATCH -t 01:30:00  # 1 hour 30 minutes # Loads Matlab and sets the application up module load matlab # Change to the directory from which you originally submitted this job. cd $SLURM_SUBMIT_DIR # Runs a Matlab script named 'myscript' matlab -nodisplay -singleCompThread -r myscript,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,2,0,doc-anvil-jobs:c42,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,You must at a minimum specify:,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,2,1,doc-anvil-jobs:c44,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,Partition (-p).,True,True,True,True,True
6e9757ef-9ce3-4b63-866f-c306f0ed9e0d,anvil,gpt-5.6-terra,bm25,1,2,2,doc-anvil-jobs:c40,https://docs.rcac.purdue.edu/userguides/anvil/jobs/,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 | #!/bin/sh -l #SBATCH -A <account> #SBATCH -p <partition> #SBATCH --nodes=1 #SBATCH --ntasks=1 #SBATCH --cpus-per-task=2 #SBATCH --mem=1G #SBATCH --job-name example-job #SBATCH -t 01:30:00  # 1 hour 30 minutes # Loads Matlab and sets the application up module load matlab # Change to the directory from which you originally submitted this job. cd $SLURM_SUBMIT_DIR # Runs a Matlab script named 'myscript' matlab -nodisplay -singleCompThread -r myscript,True,True,True,True,True
