site_id,field_id,field_path,section,value_type,evidence_class,expected_state,expected_value_json,example_value_json,observed_state,observed_value_json,match_rule,outcome
notre-dame-crc,1,/scheduler_type,scheduler,string,configuration,has_value,"""htcondor""","""htcondor""",has_value,"""htcondor""",exact_trimmed_lower,correct_value
notre-dame-crc,2,/htcondor/version,htcondor,string,configuration,has_value,"""23.7.2 2024-05-16 BuildID: 733409 PackageID: 23.7.2-1 GitSHA: 585ec167""","""23.7.2 2024-05-16 BuildID: 733409 PackageID: 23.7.2-1 GitSHA: 585ec167""",has_value,"""23.7.2 2024-05-16 BuildID: 733409 PackageID: 23.7.2-1 GitSHA: 585ec167""",exact_trimmed_lower,correct_value
notre-dame-crc,3,/htcondor/submit_command,htcondor,string,configuration,has_value,"""condor_submit""","""condor_submit""",has_value,"""condor_submit""",exact_trimmed_lower,correct_value
notre-dame-crc,4,/htcondor/collector_host,htcondor,string,configuration,has_value,"""condor-central-mgr.crc.nd.edu""","""condor-central-mgr.crc.nd.edu""",has_value,"""condor-central-mgr.crc.nd.edu""",exact_trimmed_lower,correct_value
notre-dame-crc,5,/htcondor/file_transfer_supported,htcondor,boolean,configuration,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value
notre-dame-crc,6,/htcondor/guaranteed_runtime,htcondor,boolean,policy,has_value,FALSE,FALSE,has_value,false,exact_trimmed_lower,correct_value
notre-dame-crc,7,/htcondor/preemptible,htcondor,boolean,policy,has_value,TRUE,TRUE,has_value,true,exact_trimmed_lower,correct_value
notre-dame-crc,8,/htcondor/maximum_walltime,htcondor,string,policy,has_value,"""not_applicable""","""not_applicable""",has_value,"""not_applicable""",exact_trimmed_lower,correct_value
notre-dame-crc,10,/htcondor/submit_attributes/executable/syntax,htcondor,array,policy,has_value,"[""executable = Path_to_your_executable_file/executable.sh""]","[""executable = Path_to_your_executable_file/executable.sh""]",has_value,"[""executable = Path_to_your_executable_file/executable.sh""]",set,correct_value
notre-dame-crc,10,/htcondor/submit_attributes/executable/required,htcondor,boolean,policy,has_value,FALSE,FALSE,has_value,false,exact_trimmed_lower,correct_value
